timestamp,aX,aY,aZ,gX,gY,gZ
0,-0.496,-0.589,1.675,57.007,-186.584,-176.941
20.408,-0.598,-0.346,1.829,95.703,-150.146,-157.288
40.816,-0.799,-0.825,2.172,129.883,-63.416,-156.555
61.224,-0.841,-0.657,1.914,141.785,14.832,-72.815
81.632,-0.947,-1.087,1.893,150.94,76.233,-108.093
102.04,-0.791,-0.964,1.817,157.898,102.539,-75.806
122.448,-0.538,-0.478,1.49,89.05,156.677,-91.858
142.856,-0.673,-0.387,1.99,64.148,202.148,-165.833
163.264,-0.912,-1.245,0.986,100.037,293.152,-221.863
183.672,-0.7,-0.838,1.149,71.533,289.429,-211.67
204.08,-1.057,-1.248,0.944,78.491,354.309,-249.146
224.488,-1.183,-1.996,0.514,38.147,346.924,-222.778
244.896,-1.028,-2.031,0.073,55.176,303.711,-166.931
265.304,-0.761,-1.72,0.304,20.325,216.919,-90.759
285.712,-0.992,-2.088,0.291,24.597,228.027,-69.946
306.12,-1.037,-2.045,0.3,-19.531,238.281,-8.972
326.528,-0.948,-1.707,-0.099,-9.705,237.61,10.437
346.936,-0.838,-1.748,-0.1,-42.847,199.768,70.862
367.344,-0.731,-1.596,0.092,-36.255,175.659,124.207
387.752,-0.658,-1.48,0.119,-26.184,188.232,172.607
408.16,-0.511,-0.975,0.137,-18.433,175.354,202.148
428.568,-0.321,-0.734,0.193,-15.381,161.377,204.407
448.976,-0.319,-0.731,0.028,-35.522,173.401,224.182
469.384,-0.13,-0.404,-0.054,-47.241,155.64,250.793
489.792,0.012,-0.032,0.022,-27.466,117.981,234.741
510.2,0.187,0.164,-0.033,-0.916,81.055,198.975
530.608,0.212,0.033,-0.187,5.371,54.443,176.025
551.016,0.304,-0.086,0.022,-1.953,-7.202,216.736
571.424,0.492,0.261,0.23,17.029,-19.653,218.567
591.832,0.587,0.582,0.403,32.654,7.141,155.029
612.24,0.683,0.846,0.435,18.372,32.776,112.061
632.648,0.721,0.806,0.329,2.93,60.547,87.524
653.056,0.646,0.33,0.291,-20.813,69.153,16.296
673.464,0.782,0.436,0.707,-31.921,80.933,24.292
693.872,0.833,0.65,0.284,38.147,159.119,6.531
714.28,0.834,0.45,-0.06,68.054,154.907,-13.611
734.688,0.874,0.33,-0.182,54.81,93.994,-4.395
755.096,0.945,0.325,-0.088,47.058,57.251,-2.625
775.504,1.034,0.389,0.081,39.246,33.752,-6.226
795.912,1.045,0.175,-0.023,23.56,30.762,-10.925
816.32,1.078,0.236,0.139,24.658,2.319,-4.211
836.728,1.072,0.261,0.406,19.409,3.418,-32.776
857.136,1.026,-0.109,-0.001,10.986,72.327,-39.185
877.544,1.013,-0.01,-0.186,6.531,6.958,-3.357
897.952,1.067,0.056,0.132,16.663,-17.456,-5.981
918.36,1.05,-0.011,0.101,20.142,3.906,-12.634
938.768,1.049,0.011,0.055,12.756,4.761,-1.099
959.176,1.062,0.035,0.175,17.151,-4.089,2.014
979.584,1.009,-0.134,-0.041,39.368,7.935,-5.371
999.992,1.008,-0.135,0.08,41.687,-6.165,7.812
1020.4,1.03,0.045,0.161,75.623,-19.897,8.545
1040.808,1.032,0.182,0.167,54.81,12.146,4.7
1061.216,0.97,-0.055,0.02,24.353,24.597,-1.038
1081.624,1.029,-0.028,0.232,24.048,5.676,10.315
1102.032,1.005,0.042,0.226,31.738,15.747,13
1122.44,1.03,0.106,0.005,35.095,16.113,-0.427
1142.848,1.007,0.329,-0.02,30.579,3.052,0.244
1163.256,0.966,0.181,-0.037,44.8,-8.118,-20.508
1183.664,0.962,-0.094,0.185,16.479,-16.724,-35.4
1204.072,0.973,-0.055,0.053,25.391,16.235,-11.597
1224.48,0.957,-0.045,0.019,9.827,19.47,-6.165
1244.888,0.934,-0.048,-0.087,1.16,21.851,-7.385
1265.296,0.949,-0.049,-0.061,-2.991,3.296,-2.197
1285.704,0.97,-0.014,-0.018,-8.85,-7.446,4.15
1306.112,0.993,0.012,0.001,-34.485,0.488,2.319
1326.52,0.984,0.069,-0.012,-37.354,6.165,-1.221
1346.928,0.989,-0.152,-0.089,-2.869,-1.709,-8.85
1367.336,0.966,-0.06,0.002,34.119,-0.61,12.024
1387.744,0.998,-0.066,0.023,30.945,-7.751,11.658
1408.152,0.976,0.058,0.043,-20.691,14.954,6.897
1428.56,0.957,-0.329,-0.018,-0.671,0.122,-8.362
1448.968,0.948,-0.059,0.012,-10.986,1.587,18.372
1469.376,0.97,0.012,0.134,-13.977,8.545,16.907
1489.784,0.947,-0.06,-0.076,23.01,15.564,6.348
1510.192,0.964,-0.02,-0.122,20.569,8.789,13.733
1530.6,0.978,0.163,0.004,2.563,1.465,21.423
1551.008,0.962,0.177,-0.093,3.418,5.798,9.521
1571.416,0.965,-0.009,0.16,-10.864,-25.085,6.409
1591.824,0.982,-0.057,-0.038,1.099,12.146,7.568
1612.232,0.967,-0.002,0.011,-1.587,-1.038,12.146
1632.64,0.826,0.154,0.017,9.521,8.85,10.498
1653.048,1.07,0.152,0.127,-22.827,23.743,-14.771
1673.456,1.007,0.057,0.011,-4.089,21.912,-9.949
1693.864,1.026,-0.012,-0.008,-5.737,12.207,-13.672
1714.272,1.108,0.043,0.046,-13.367,2.869,-10.62
1734.68,1.118,0.011,-0.126,-32.898,3.052,-12.634
1755.088,0.775,-0.019,0.181,-78.796,-17.212,-6.958
1775.496,1.031,-0.142,-0.112,0.061,15.198,2.747
1795.904,1.01,-0.108,0.139,-30.396,-10.01,10.071
1816.312,0.904,-0.018,0.158,-7.568,14.771,16.724
1836.72,0.932,-0.065,-0.04,16.907,22.766,14.16
1857.128,0.991,-0.06,0.025,15.137,20.691,19.043
1877.536,1,0.022,-0.123,9.644,25.879,23.865
1897.944,1.004,0.041,-0.069,-4.7,15.564,20.63
1918.352,1.009,0.103,-0.14,-14.282,7.874,13.428
1938.76,1.013,0.073,-0.064,-13.977,1.831,4.639
1959.168,0.989,0.056,-0.078,-11.658,3.845,0.366
1979.576,0.955,-0.004,-0.062,5.127,4.456,-3.357
1999.984,0.964,-0.025,-0.102,14.832,5.676,-3.296
2020.392,0.976,-0.019,-0.058,12.756,0.549,-1.648
2040.8,0.982,-0.016,-0.04,10.681,-0.183,-0.061
2061.208,0.994,-0.021,0.002,3.235,-4.761,1.343
2081.616,0.98,-0.027,-0.037,-5.005,-1.404,5.615
2102.024,0.96,0.002,-0.01,1.099,-5.859,6.165
2122.432,0.997,0.059,-0.008,1.465,-1.892,10.376
2142.84,1.003,0.053,-0.012,7.446,5.554,3.906
2163.248,0.984,0.027,-0.078,3.967,5.249,2.991
2183.656,0.978,0.084,-0.093,-0.854,-0.366,4.333
2204.064,0.982,0.002,-0.015,-4.456,-4.517,-0.61
2224.472,0.98,0.004,-0.016,-8.118,1.709,4.7
2244.88,0.964,0.033,-0.077,-5.615,-0.732,4.395
2265.288,0.995,0.057,-0.022,-5.249,-2.258,5.188
2285.696,0.985,-0.006,-0.015,-8.606,5.493,5.066
2306.104,0.99,0.059,-0.073,-6.958,8.179,8.362
2326.512,1.004,0.087,-0.026,-2.136,9.216,3.296
2346.92,0.979,0.045,-0.058,2.319,10.559,3.601
2367.328,0.996,0.109,-0.085,1.16,7.324,5.005
2387.736,1.001,0.085,-0.053,1.343,3.174,-0.549
2408.144,0.995,-0.001,-0.056,0.366,2.808,-1.587
2428.552,0.483,-1.708,-0.613,-20.935,-54.138,-175.171
2448.96,0.369,-1.972,-0.631,-9.277,-82.031,-109.985
2469.368,0.28,-2.078,-0.441,14.954,-88.623,-62.927
2489.776,0.184,-1.503,-0.534,73.425,-72.449,-0.305
2510.184,-0.054,-1.245,-0.539,92.834,-96.436,12.268
2530.592,-0.163,-1.119,-0.133,56.641,-120.483,43.884
2551,-0.305,-1.116,-0.459,44.861,-99.609,56.03
2571.408,-0.431,-1.086,-0.48,30.273,-145.752,92.773
2591.816,-0.193,-0.786,-0.205,41.809,-166.931,121.399
2612.224,-0.401,-0.62,-0.175,44.495,-212.28,149.536
2632.632,-0.248,-0.28,0.22,40.527,-205.811,149.414
2653.04,-0.112,-0.084,0.358,24.17,-206.543,155.029
2673.448,0.069,0.342,0.714,25.269,-206.604,140.991
2693.856,0.324,0.732,1.007,25.818,-202.637,121.765
2714.264,0.245,0.437,0.573,54.382,-136.597,35.645
2734.672,0.116,0.226,0.292,48.767,-135.742,15.93
2755.08,0.008,-0.159,0.295,38.574,-159.607,5.432
2775.488,-0.141,-0.563,0.178,54.565,-147.278,-9.155
2795.896,-0.13,-0.522,0.498,37.231,-182.861,22.522
2816.304,-0.014,0.016,1.211,37.476,-193.848,49.011
2836.712,0.146,0.506,1.255,41.687,-162.964,36.255
2857.12,0.223,0.536,1.279,45.349,-154.602,-0.427
2877.528,0.213,0.348,1.46,36.987,-141.113,-58.594
2897.936,0.132,0.176,1.744,45.654,-108.459,-87.402
2918.344,0.08,0.002,1.481,60.852,-79.163,-98.389
2938.752,0.17,-0.006,1.064,95.093,-92.896,-118.225
2959.16,0.072,-0.322,1.299,98.999,-102.173,-148.376
2979.568,0.014,-0.65,1.304,84.656,-80.872,-166.016
2999.976,0.134,-0.42,2.001,66.406,-92.896,-159.485
3020.384,0.146,-0.344,2.289,70.74,-35.583,-199.646
