aX,aY,aZ,gX,gY,gZ
-0.495,1.358,1.336,27.710,-280.945,290.283
-0.444,1.627,1.664,82.886,-239.868,136.108
-0.271,1.399,1.606,12.207,-151.367,17.212
-0.220,1.116,1.165,125.549,-101.868,-30.151
-0.171,1.387,1.273,105.164,-113.403,-46.143
-0.102,1.484,1.231,51.086,-102.966,-96.985
-0.021,0.578,1.405,70.313,-108.215,-203.064
-0.020,0.694,1.747,97.290,-78.552,-155.640
-0.003,1.573,1.730,142.456,-40.283,-171.753
-0.180,1.208,1.509,155.151,8.850,-310.730
-0.443,0.539,1.428,141.846,17.395,-375.488
-0.566,-0.602,1.551,81.726,7.935,-438.660
-0.617,-1.107,1.962,-38.940,-23.315,-483.582
-1.005,-1.827,2.646,0.732,-4.089,-477.783
-1.295,-3.092,2.778,79.651,108.093,-389.282
-1.166,-3.142,2.449,122.375,195.740,-208.801
-0.698,-1.927,1.527,145.691,264.832,-2.808
-0.581,-1.453,1.276,38.879,281.250,-5.920
-0.676,-1.957,0.820,-10.742,297.363,-66.528
-0.816,-2.296,0.699,-41.992,274.109,-53.345
-0.702,-1.916,1.045,-184.814,272.156,-3.052
-0.836,-1.561,0.793,-210.205,316.650,26.978
-0.730,-1.272,0.426,-124.817,323.853,46.326
-0.666,-1.069,0.381,23.254,274.963,66.833
-0.638,-0.947,0.257,68.848,272.339,95.459
-0.583,-0.566,-0.160,110.596,282.227,135.620
-0.435,-0.368,-0.417,63.843,257.263,143.433
-0.332,-0.336,-0.200,104.370,190.674,125.244
-0.175,-0.238,-0.336,106.079,200.195,143.372
-0.001,0.240,-0.731,163.391,204.102,195.984
0.137,0.579,-0.848,205.811,116.394,177.795
0.324,0.684,-0.701,155.945,54.871,130.005
0.471,0.502,-0.506,74.280,23.499,85.876
0.657,0.680,-0.354,62.317,-5.066,95.154
0.745,0.972,-0.357,56.519,-12.634,100.464
0.831,0.803,-0.220,18.311,-39.124,24.841
0.990,0.536,0.074,6.897,-41.687,16.907
1.051,0.606,0.076,1.587,-23.193,25.024
1.161,0.756,0.058,3.784,-17.761,15.503
1.162,0.734,0.099,35.522,-16.724,-3.784
1.238,0.632,-0.186,-3.357,7.507,-21.423
1.218,0.527,-0.112,-28.503,-15.076,-31.128
1.170,0.131,0.124,-54.810,-26.306,-45.044
1.189,0.078,0.043,-44.250,-3.052,-21.667
1.064,0.089,0.022,-13.977,-2.991,-27.954
1.066,-0.076,-0.130,-15.564,7.385,-31.067
1.000,-0.165,-0.113,-9.155,-1.099,-24.292
1.011,-0.119,0.031,-1.953,-15.503,1.099
1.000,0.057,0.277,27.039,-24.902,-1.648
1.016,-0.062,0.382,80.200,5.371,-16.846
0.976,-0.022,0.227,81.177,38.574,-20.325
0.949,-0.258,-0.213,113.220,65.796,-29.175
0.988,0.067,-0.123,74.768,35.828,3.052
0.923,-0.153,-0.228,75.439,34.058,-12.085
0.921,-0.167,-0.321,52.490,24.292,-2.747
0.951,-0.075,-0.416,42.358,-1.953,24.292
0.958,0.024,-0.063,45.471,-29.785,29.114
0.922,0.048,-0.055,52.917,-1.404,14.038
0.917,-0.054,-0.251,104.919,8.179,1.526
0.875,0.019,-0.309,103.394,-8.423,11.414
