timestamp,aX,aY,aZ,gX,gY,gZ
0,-0.427,1.028,-1.234,61.34,61.218,-75.195
20.408,-0.554,0.999,-1.545,32.776,39.246,-163.757
40.816,-0.822,0.698,-2.078,38.452,-16.235,-209.229
61.224,-0.769,-0.056,-2.006,-92.224,-201.172,-240.784
81.632,-0.911,-0.396,-0.428,-54.382,-351.501,-199.89
102.04,-1.021,-0.662,-0.562,105.042,-278.503,-214.539
122.448,-1.141,-1.285,-0.825,121.765,-303.772,-260.376
142.856,-1.363,-2.486,-0.465,-23.132,-434.082,-235.962
163.264,-1.267,-1.37,0.677,-132.874,-500.244,35.828
183.672,-1.023,-0.975,0.859,-86.487,-472.534,71.228
204.08,-0.936,-0.985,1.081,-115.784,-456.726,129.028
224.488,-0.894,-0.691,1.125,-145.813,-431.519,174.561
244.896,-0.962,-0.429,2.041,-602.783,-441.65,237.061
265.304,-0.84,-0.037,3.516,-441.895,-320.618,383.362
285.712,-0.992,1.285,3.63,-280.212,-16.052,494.446
306.12,-1.288,2.062,2.371,-348.572,210.571,501.038
326.528,-1.023,2.705,0.766,-226.685,249.939,338.623
346.936,-0.79,3.341,0.613,-202.087,187.317,217.346
367.344,-0.42,2.759,1.198,-186.279,137.451,79.163
387.752,-0.369,2.011,1.531,-184.692,192.688,-6.165
408.16,-0.562,1.904,1.191,-177.917,263.672,-40.466
428.568,-0.59,1.503,0.215,-155.457,320.557,-89.172
448.976,-0.537,1.677,-0.118,-79.346,263.489,-90.21
469.384,-0.586,1.829,-0.194,-24.048,224.243,-127.197
489.792,-0.697,1.63,-0.173,9.705,203.918,-157.043
510.2,-0.815,1.25,-0.361,59.204,198.914,-198.059
530.608,-0.799,1.027,-0.429,35.4,131.165,-222.534
551.016,-0.709,0.814,-0.113,-8.24,70.862,-234.192
571.424,-0.707,0.699,0.014,-7.446,42.847,-268.738
591.832,-0.721,0.613,-0.069,-10.254,28.503,-321.96
612.24,-0.722,0.561,0.03,-0.305,-2.319,-339.111
632.648,-0.951,0.671,-0.199,37.598,15.991,-351.868
653.056,-1.075,0.303,-0.55,-19.531,-9.46,-400.33
673.464,-1.044,-0.109,0.024,-96.68,-121.521,-419.312
693.872,-0.865,-0.288,0.705,-51.514,-144.104,-401.367
714.28,-1.022,-0.158,-0.136,116.638,-18.188,-378.784
734.688,-0.885,-0.365,0.476,12.634,-116.516,-408.508
755.096,-0.974,-0.469,1.656,-17.151,-129.089,-408.508
775.504,-1.189,-0.499,1.732,87.524,12.207,-417.725
795.912,-1.299,-1.453,1.194,-10.132,105.53,-547.729
816.32,-1.603,-2.538,1.35,-39.185,111.694,-518.25
836.728,-1.533,-3.108,1.292,-28.809,168.091,-428.223
857.136,-1.272,-3.757,1.724,25.94,204.956,-299.377
877.544,-1.256,-3.367,0.599,93.323,328.003,-113.647
897.952,-1.085,-3.336,0.462,83.496,257.446,-16.968
918.36,-1.151,-3.43,0.632,88.257,245.667,58.044
938.768,-1.16,-3.349,0.684,138.55,237.671,193.542
959.176,-1.133,-2.697,0.641,287.17,253.296,351.746
979.584,-1.162,-2.023,-0.128,319.214,246.399,424.805
999.992,-1.11,-0.95,-0.727,363.831,180.481,515.991
1020.4,-0.935,-0.277,-0.774,335.51,85.388,509.216
1040.808,-0.581,0.171,-0.473,169.434,-6.104,449.829
1061.216,-0.312,0.266,-0.239,14.404,4.639,358.887
1081.624,-0.283,0.27,-0.356,-42.053,38.086,314.88
1102.032,-0.318,0.5,-1.077,-58.167,58.167,273.743
1122.44,-0.044,0.591,-0.929,-77.332,-38.635,228.516
1142.848,0.077,0.544,-0.595,-134.521,-55.176,184.998
1163.256,0.262,0.524,-0.451,-145.569,-43.396,164.49
1183.664,0.373,0.646,-0.18,-142.395,-38.391,150.024
1204.072,0.395,0.676,-0.259,-133.484,-4.7,123.535
1224.48,0.531,0.854,-0.514,-4.7,-23.987,66.895
1244.888,0.623,0.299,-0.181,-20.508,-60.242,-4.15
1265.296,0.627,0.18,-0.094,-74.768,-55.054,13.733
1285.704,0.68,0.791,-0.159,-58.777,-40.1,49.133
1306.112,0.718,0.554,-0.401,-38.513,-43.64,-18.616
1326.52,0.779,0.409,-0.365,-10.315,-74.951,-41.138
1346.928,0.981,0.279,-0.055,67.383,-92.224,-64.819
1367.336,1.128,0.123,0.065,52.795,-76.111,-55.908
1387.744,1.239,0.231,0.169,53.65,-64.331,-55.115
1408.152,1.253,-0.088,0.193,45.471,-36.804,-61.462
1428.56,1.287,-0.253,0.128,31.433,-16.418,-21.973
1448.968,1.233,-0.071,0.167,17.639,-5.981,17.273
1469.376,1.172,0.144,-0.013,33.875,14.343,14.099
1489.784,1.081,-0.048,-0.202,77.026,8.301,-16.174
1510.192,1.05,-0.161,-0.125,51.208,-1.099,-12.024
1530.6,1.012,-0.123,0.008,48.584,9.888,7.751
1551.008,0.964,0.018,-0.243,43.762,18.86,21.423
1571.416,0.965,0.158,-0.092,56.641,-6.592,15.503
1591.824,0.938,0.135,-0.038,31.616,-0.244,-4.028
1612.232,0.943,0.024,-0.106,17.151,-1.77,-7.019
1632.64,0.953,0.031,-0.042,25.879,7.69,-4.089
1653.048,0.969,0.05,-0.155,31.433,10.376,0.671
1673.456,0.974,0.163,-0.036,42.297,5.066,2.93
1693.864,0.973,0.217,-0.166,46.814,13.184,-8.423
1714.272,0.995,0.131,-0.038,53.955,0.977,-20.813
1734.68,0.989,0.055,-0.062,53.833,12.939,-19.714
1755.088,0.971,-0.033,-0.176,26.123,18.677,-4.7
1775.496,0.95,0.094,-0.161,17.517,14.526,7.874
1795.904,0.932,0.116,-0.211,27.283,15.808,1.526
1816.312,0.916,0.129,-0.212,17.822,3.174,1.404
1836.72,0.95,0.079,-0.192,16.174,-5.92,-2.625
1857.128,0.983,0.177,-0.032,17.822,-12.817,-2.686
1877.536,0.97,0.126,-0.094,20.813,-2.563,-11.658
1897.944,0.978,-0.038,-0.099,11.353,-3.113,-8.179
1918.352,0.998,0.038,-0.08,2.869,3.052,5.676
1938.76,0.984,0.06,-0.18,-0.488,5.127,5.066
1959.168,0.985,0.09,-0.085,-3.662,-7.874,0.793
1979.576,0.988,0.033,-0.154,-8.728,-3.662,-3.418
1999.984,0.978,-0.007,-0.125,-21.24,-10.315,-1.16
2020.392,0.995,0.131,-0.048,-12.573,-6.531,2.197
2040.8,0.978,0.005,-0.091,-12.939,1.038,-2.502
2061.208,0.978,0.025,-0.098,-15.259,1.282,3.601
2081.616,0.965,0.121,-0.153,-11.658,2.075,2.869
2102.024,0.976,0.086,-0.094,-11.78,-4.028,-3.479
2122.432,0.996,0.049,-0.114,-7.263,-1.404,-5.249
2142.84,1.01,0.042,-0.048,-10.803,-0.427,-2.38
2163.248,1.001,0.07,-0.136,-7.141,3.662,1.343
2183.656,1.003,0.048,-0.119,-4.639,-0.122,-1.404
2204.064,1.001,-0.002,-0.092,-8.545,1.953,2.747
2224.472,1.001,0.059,-0.075,-11.108,1.77,4.7
2244.88,0.988,0.06,-0.07,-7.202,7.263,2.38
2265.288,0.968,0.024,-0.15,-8.484,5.066,4.761
2285.696,0.957,0.095,-0.138,-7.507,2.441,7.446
2306.104,0.953,0.081,-0.146,-2.563,-0.732,-1.343
2326.512,0.979,-0.032,-0.072,-0.183,-2.93,-1.404
2346.92,0.981,0.025,-0.079,-2.197,0.244,5.554
2367.328,0.974,0.017,-0.075,3.601,-1.221,2.258
2387.736,0.98,0,-0.073,9.399,0.305,0.183
2408.144,0.985,0.059,-0.089,15.747,3.723,-0.366
2428.552,0.467,1.655,-0.676,37.109,243.53,132.446
2448.96,0.381,1.567,-1.055,31.311,214.783,71.838
2469.368,0.308,1.325,-0.746,45.471,121.704,-16.968
2489.776,0.205,1.033,-0.597,63.11,109.619,-49.927
2510.184,0.009,0.905,-0.737,65.308,115.784,-62.744
2530.592,-0.321,1.089,-1.065,73.303,121.887,-75.317
2551,-0.579,1.197,-1.537,84.839,121.46,-115.723
2571.408,-0.972,1.516,-2.017,5.554,40.833,-153.015
2591.816,-0.806,0.464,-1.778,-74.341,-73.425,-270.752
2612.224,-0.674,-0.114,-1.432,-70.374,-138.489,-222.778
2632.632,-0.771,0.083,-1.445,-26.794,-210.754,-187.5
2653.04,-1.046,-0.158,-1.216,-1.892,-281.006,-213.867
2673.448,-1.248,-0.798,-0.507,-12.451,-383.545,-223.633
2693.856,-1.361,-1.173,0.071,26.489,-424.744,-298.828
2714.264,-1.135,-2.283,0.145,49.194,-426.941,-160.034
2734.672,-1.02,-1.963,0.835,-34.424,-458.008,8.728
2755.08,-0.751,-1.04,1.072,-59.631,-441.772,72.083
2775.488,-0.585,-1.332,0.998,25.024,-377.686,51.453
2795.896,-0.671,-2.097,1.422,56.335,-391.296,111.206
2816.304,-0.703,-2.081,2.421,3.906,-418.518,197.266
2836.712,-0.753,-0.636,3.248,-142.029,-289.185,365.234
2857.12,-0.558,0.33,2.511,-347.534,-117.065,355.103
2877.528,-0.539,0.459,2.405,-473.755,-41.931,323.12
2897.936,-0.745,0.929,1.711,-461.914,44.678,358.521
2918.344,-0.816,1.371,1.128,-566.162,147.339,451.538
2938.752,-0.715,2.978,0.555,-438.354,215.454,317.932
2959.16,-0.606,3.046,-0.075,-335.937,270.935,149.536
2979.568,-0.671,2.622,-0.257,-184.082,234.802,-14.771
2999.976,-0.621,1.584,0.042,-194.519,176.575,-55.176
3020.384,-0.598,1.476,0.146,-170.105,181.152,-59.631
3040.792,-0.627,1.745,-0.128,-123.84,221.008,-86.609
3061.2,-0.672,1.803,-0.286,-126.099,233.032,-135.193
3081.608,-0.873,1.459,-0.42,-79.224,231.873,-181.335
3102.016,-1.06,0.888,-0.785,-47.363,224.243,-197.876
3122.424,-1.018,0.6,-1.247,-15.686,88.989,-186.707
3142.832,-0.805,0.715,-0.806,-50.72,-66.223,-186.89
3163.24,-0.593,0.858,0.04,-49.866,-151.428,-208.313
3183.648,-0.651,0.786,-0.028,3.54,-77.454,-253.723
3204.056,-0.709,0.691,-0.7,64.819,-39.978,-277.893
3224.464,-0.833,0.761,-0.963,65.918,-90.21,-279.724
3244.872,-1.025,0.501,-0.374,2.991,-229.797,-320.862
3265.28,-1.05,0.014,0.124,8.179,-250.671,-354.797
3285.688,-0.875,-0.256,0.194,19.775,-236.389,-350.281
3306.096,-0.601,-0.187,0.459,38.879,-218.811,-312.744
3326.504,-0.755,-0.049,0.043,100.281,-159.424,-312.256
3346.912,-0.74,-0.425,0.493,77.698,-233.215,-344.116
3367.32,-0.819,-0.324,1.283,38.33,-274.902,-334.351
3387.728,-0.859,-0.812,1.296,106.567,-150.452,-372.437
3408.136,-0.917,-0.981,1.675,2.563,-144.836,-457.275
3428.544,-0.876,-1.282,1.907,29.907,-73.12,-343.445
3448.952,-0.827,-1.587,1.86,79.102,2.563,-311.768
3469.36,-0.708,-1.741,1.876,12.146,70.801,-296.692
3489.768,-0.796,-2.069,1.845,171.997,152.161,-304.321
3510.176,-0.846,-2.509,1.337,-79.468,234.253,-335.205
3530.584,-0.883,-2.764,1.836,-274.658,187.866,-305.359
3550.992,-0.984,-2.501,2.713,-258.301,223.816,-237.122
3571.4,-1.087,-2.326,2.496,-67.2,306.58,-115.295
3591.808,-1.053,-1.839,1.199,58.167,402.466,-49.011
3612.216,-0.764,-1.596,0.397,86.304,363.403,-0.549
3632.624,-0.599,-1.44,0.19,69.275,333.801,57.129
3653.032,-0.421,-1.273,0.613,34.851,288.818,80.322
3673.44,-0.469,-0.91,0.36,-6.409,360.046,115.173
3693.848,-0.412,-0.562,-0.093,30.029,382.385,141.113
3714.256,-0.13,-0.362,-0.419,118.408,337.341,137.695
3734.664,0.041,-0.307,-0.432,109.009,268.555,126.709
3755.072,0.177,-0.298,-0.499,96.619,241.577,115.173
3775.48,0.213,-0.424,-0.574,59.998,202.148,108.398
3795.888,0.29,-0.369,-0.622,90.82,152.771,134.521
3816.296,0.336,-0.232,-0.596,83.496,122.192,143.188
3836.704,0.385,-0.166,-0.594,58.533,88.806,132.385
3857.112,0.419,0.01,-0.656,51.88,62.866,130.127
3877.52,0.491,0.16,-0.64,89.783,36.316,125.793
3897.928,0.58,0.389,-0.578,111.206,4.639,104.553
3918.336,0.633,0.302,-0.53,111.206,-20.447,68.848
3938.744,0.705,0.08,-0.387,87.769,-56.641,58.105
3959.152,0.767,0.192,-0.157,108.276,-63.538,75.684
3979.56,0.945,0.611,-0.148,123.047,-55.908,73.914
3999.968,1.05,0.575,-0.042,85.144,-51.147,8.362
4020.376,1.08,0.334,-0.112,89.905,-38.94,-16.357
4040.784,1.109,0.006,-0.122,105.042,-39.185,-21.057
4061.192,1.171,0.151,-0.018,86.792,-40.283,5.737
4081.6,1.192,0.19,0.114,72.632,-31.86,2.747
4102.008,1.153,0.204,-0.035,78.918,2.319,-3.662
