aX,aY,aZ,gX,gY,gZ
-1.009,-0.938,-0.645,135.193,-328.186,33.997
-1.318,-0.893,-0.442,167.175,-378.845,51.392
-1.665,-1.144,0.217,148.193,-476.318,24.841
-2.044,-1.242,1.178,127.380,-575.562,50.415
-2.176,-0.995,1.667,159.851,-617.371,91.858
-2.290,-1.222,2.130,79.834,-572.144,98.511
-2.196,-1.188,2.143,24.292,-502.991,166.504
-2.134,-0.641,2.843,12.878,-519.104,228.394
-2.036,-0.381,3.295,-51.697,-411.316,225.098
-1.634,-0.181,3.110,-56.946,-290.710,225.769
-1.494,-0.128,2.303,-1.648,-163.391,199.219
-1.550,-0.580,2.828,-76.111,-144.653,143.799
-1.638,-0.892,3.179,-113.770,-36.377,192.444
-1.570,-0.226,2.572,-104.919,123.535,305.786
-1.322,0.464,2.256,-125.732,160.461,340.027
-0.567,1.090,2.200,-193.237,140.015,359.985
-0.484,1.266,2.330,-234.985,136.047,121.826
-0.138,0.385,2.120,-352.539,210.449,-81.482
-0.065,-0.048,1.681,-396.057,298.157,-140.137
0.041,-0.652,0.623,-420.776,354.614,-148.682
0.195,-0.609,-0.212,-412.842,355.835,-118.347
0.528,-0.208,-0.362,-322.021,283.203,-23.254
0.441,0.984,0.213,-280.823,189.209,54.871
-0.015,1.169,0.059,-125.366,291.748,-78.857
-0.188,0.346,-1.070,-54.443,288.696,-154.419
-0.137,-0.175,-1.136,-6.348,85.083,-125.916
-0.124,0.145,-0.642,8.972,-14.771,-38.086
-0.118,1.184,-0.127,41.077,-37.415,38.574
-0.380,1.718,0.104,77.820,-27.649,-40.344
-0.517,1.651,0.182,116.821,-29.541,-142.090
-0.727,0.768,0.360,52.063,-43.457,-294.861
-0.748,0.424,0.443,51.147,-40.344,-313.477
-0.808,0.449,0.325,70.801,4.700,-289.185
-0.923,0.725,0.094,79.529,19.775,-316.589
-1.047,0.457,0.121,2.441,-29.053,-402.527
-1.358,-0.089,0.712,-89.539,-159.973,-525.818
-1.812,-0.276,1.146,-133.118,-229.858,-565.186
-2.180,-1.018,1.661,-164.795,-229.553,-673.035
-2.174,-1.451,2.147,-47.485,-173.584,-631.714
-2.269,-1.850,2.112,66.406,-90.210,-564.148
-1.585,-2.223,1.979,53.101,-9.460,-437.439
-1.034,-1.477,1.743,310.425,45.593,-206.177
-1.190,-1.296,1.251,411.865,129.700,-151.367
-0.502,-1.744,1.306,98.206,174.438,-204.529
-0.561,-1.705,1.404,113.342,219.421,-141.113
-1.273,-1.895,0.600,46.875,278.381,-144.653
-0.983,-2.529,0.620,-8.972,233.093,-179.626
-1.079,-2.550,0.627,71.167,223.999,-70.313
-1.110,-1.423,0.136,175.842,251.160,80.078
-1.051,-1.344,0.152,157.288,210.754,58.350
-1.178,-1.485,0.476,152.222,193.176,68.665
-1.055,-1.197,0.359,209.412,217.163,117.126
-1.087,-1.144,0.105,272.400,216.492,156.128
-1.081,-1.225,-0.004,280.518,209.839,187.988
-0.980,-0.884,-0.314,285.645,223.206,283.386
-0.794,-0.588,-0.705,269.348,220.093,321.960
-0.667,-0.307,-0.906,319.397,181.335,348.511
-0.385,0.044,-1.089,343.628,76.477,328.552
-0.265,0.169,-1.093,289.185,6.714,282.288
-0.003,0.225,-0.974,173.157,-58.899,188.049
0.178,0.071,-0.784,107.361,-91.125,128.235
0.220,-0.203,-0.579,66.223,-108.643,104.370
0.307,-0.170,-0.530,61.951,-111.084,128.296
0.423,0.363,-0.296,58.533,-118.530,170.776
0.441,0.563,-0.382,91.187,-87.708,110.046
0.487,0.080,-0.642,41.077,-90.088,45.654
0.609,-0.034,-0.175,11.963,-142.151,63.538
0.713,0.128,0.113,31.067,-153.870,78.430
0.702,0.461,0.382,39.734,-104.492,85.754
0.675,0.355,0.046,64.697,-35.339,46.448
0.811,0.208,-0.102,28.320,-50.781,34.485
0.803,0.482,0.061,23.560,-84.534,44.861
0.861,0.702,0.221,-24.231,-102.661,11.414
0.933,0.636,0.264,-71.167,-101.196,-24.353
1.011,0.290,0.341,-78.613,-100.342,-70.984
1.058,0.090,0.370,-114.685,-98.694,-78.979
1.113,-0.078,0.486,-76.660,-93.018,-68.542
1.161,-0.102,0.524,-57.556,-50.232,-39.246
1.271,-0.054,0.390,-54.138,-23.621,-23.254
1.264,-0.013,0.326,-48.767,-3.906,-15.686
1.235,-0.058,0.155,-21.545,13.611,-13.855
1.203,0.005,-0.016,-32.043,3.174,-11.841
1.151,-0.114,0.099,-66.650,-8.484,-14.343
1.135,-0.167,0.088,-91.125,-6.226,-7.141
1.099,-0.107,0.200,-68.420,-6.714,4.822
1.070,-0.071,0.126,-35.095,13.367,12.390
0.995,0.001,0.045,-15.259,20.508,9.216
0.994,-0.020,-0.024,0.427,20.630,7.996
0.930,-0.031,-0.041,8.362,19.531,3.723
0.900,-0.089,-0.068,0.061,8.301,0.732
0.964,-0.054,-0.051,-5.676,7.751,5.920
0.944,0.087,-0.044,3.052,3.479,0.488
0.955,-0.043,-0.051,1.404,-0.305,-7.935
0.944,-0.030,0.068,13.000,-3.967,-8.362
